HomeTeam,AwayTeam,Penalties,Date,Time,Year,Home Team Goals,Away Team Goals,Total Goals Scored
Soviet Union,Hungary,[],23 July 1966,15:00,1966,2,1,3
West Germany,Uruguay,[],23 July 1966,15:00,1966,4,0,4
Portugal,North Korea,[],23 July 1966,15:00,1966,5,3,8
West Germany,Soviet Union,[],25 July 1966,19:30,1966,2,1,3
England,Portugal,[],26 July 1966,19:30,1966,2,1,3
Portugal,Soviet Union,[],28 July 1966,19:30,1966,2,1,3
Portugal,Brazil,[],19 July 1966,19:30,1966,3,1,4
England,Argentina,[],23 July 1966,15:00,1966,1,0,1
England,West Germany,[],30 July 1966,15:00,1966,4,2,6
Portugal,Bulgaria,[],16 July 1966,15:00,1966,3,0,3
Portugal,Hungary,[],13 July 1966,19:30,1966,3,1,4
Hungary,Brazil,[],15 July 1966,19:30,1966,3,1,4
England,Uruguay,[],11 July 1966,19:30,1966,0,0,0
France,Mexico,[],13 July 1966,19:30,1966,1,1,2
Uruguay,France,[],15 July 1966,19:30,1966,2,1,3
Mexico,Uruguay,[],19 July 1966,16:30,1966,0,0,0
England,France,[],20 July 1966,19:30,1966,2,0,2
England,Mexico,[],16 July 1966,19:30,1966,2,0,2
Argentina,Spain,[],13 July 1966,19:30,1966,2,1,3
Spain,Switzerland,[],15 July 1966,19:30,1966,2,1,3
Argentina,West Germany,[],16 July 1966,15:00,1966,0,0,0
Argentina,Switzerland,[],19 July 1966,19:30,1966,2,0,2
West Germany,Spain,[],20 July 1966,19:30,1966,2,1,3
Brazil,Bulgaria,[],12 July 1966,19:30,1966,2,0,2
West Germany,Switzerland,[],12 July 1966,19:30,1966,5,0,5
West Germany,Peru,[],10 June 1970,16:00,1970,3,1,4
Peru,Bulgaria,[],2 June 1970,16:00,1970,3,2,5
West Germany,Morocco,[],3 June 1970,16:00,1970,2,1,3
Peru,Morocco,[],6 June 1970,16:00,1970,3,0,3
West Germany,Bulgaria,[],7 June 1970,12:00,1970,5,2,7
Bulgaria,Morocco,[],11 June 1970,16:00,1970,1,1,2
England,Czechoslovakia,[],11 June 1970,16:00,1970,1,0,1
Brazil,Peru,[],14 June 1970,12:00,1970,4,2,6
West Germany,England,[],14 June 1970,12:00,1970,3,2,5
Uruguay,Brazil,[],17 June 1970,16:00,1970,1,3,4
Italy,West Germany,[],17 June 1970,16:00,1970,4,3,7
Uruguay,West Germany,[],20 June 1970,16:00,1970,0,1,1
Brazil,Italy,[],21 June 1970,12:00,1970,4,1,5
Soviet Union,Uruguay,[],14 June 1970,12:00,1970,0,1,1
Brazil,Romania,[],10 June 1970,16:00,1970,3,2,5
Italy,Mexico,[],14 June 1970,12:00,1970,4,1,5
Romania,Czechoslovakia,[],6 June 1970,16:00,1970,2,1,3
Mexico,Soviet Union,[],31 May 1970,12:00,1970,0,0,0
Belgium,El Salvador,[],3 June 1970,16:00,1970,3,0,3
Soviet Union,Belgium,[],6 June 1970,16:00,1970,4,1,5
Mexico,El Salvador,[],7 June 1970,12:00,1970,4,0,4
Soviet Union,El Salvador,[],10 June 1970,16:00,1970,2,0,2
Mexico,Belgium,[],11 June 1970,16:00,1970,1,0,1
Uruguay,Israel,[],2 June 1970,16:00,1970,2,0,2
Brazil,England,[],7 June 1970,12:00,1970,1,0,1
Italy,Sweden,[],3 June 1970,16:00,1970,1,0,1
Uruguay,Italy,[],6 June 1970,16:00,1970,0,0,0
Sweden,Israel,[],7 June 1970,12:00,1970,1,1,2
Sweden,Uruguay,[],10 June 1970,16:00,1970,1,0,1
Italy,Israel,[],11 June 1970,16:00,1970,0,0,0
England,Romania,[],2 June 1970,16:00,1970,1,0,1
Brazil,Czechoslovakia,[],3 June 1970,16:00,1970,4,1,5
Haiti,Poland,[],19 June 1974,19:30,1974,0,7,7
Argentina,Haiti,[],23 June 1974,16:00,1974,4,1,5
Poland,Italy,[],23 June 1974,16:00,1974,2,1,3
Brazil,East Germany,[],26 June 1974,19:30,1974,1,0,1
Argentina,Brazil,[],30 June 1974,16:00,1974,1,2,3
East Germany,Netherlands,[],30 June 1974,16:00,1974,0,2,2
Argentina,East Germany,[],3 July 1974,19:30,1974,1,1,2
Netherlands,Brazil,[],3 July 1974,19:30,1974,2,0,2
Poland,Yugoslavia,[],30 June 1974,16:00,1974,2,1,3
Sweden,Poland,[],26 June 1974,19:30,1974,0,1,1
Argentina,Italy,[],19 June 1974,19:30,1974,1,1,2
West Germany,Sweden,[],30 June 1974,19:30,1974,4,2,6
Poland,West Germany,[],3 July 1974,16:35,1974,0,1,1
Sweden,Yugoslavia,[],3 July 1974,19:30,1974,2,1,3
Brazil,Poland,[],6 July 1974,16:00,1974,0,1,1
Netherlands,West Germany,[],7 July 1974,16:00,1974,1,2,3
Yugoslavia,West Germany,[],26 June 1974,16:00,1974,0,2,2
Italy,Haiti,[],15 June 1974,18:00,1974,3,1,4
Netherlands,Argentina,[],26 June 1974,19:30,1974,4,0,4
East Germany,West Germany,[],22 June 1974,19:30,1974,1,0,1
West Germany,Chile,[],14 June 1974,16:00,1974,1,0,1
East Germany,Australia,[],14 June 1974,19:30,1974,2,0,2
Australia,West Germany,[],18 June 1974,16:00,1974,0,3,3
Chile,East Germany,[],18 June 1974,19:30,1974,1,1,2
Australia,Chile,[],22 June 1974,16:00,1974,0,0,0
Sweden,Uruguay,[],23 June 1974,16:00,1974,3,0,3
Brazil,Yugoslavia,[],13 June 1974,17:00,1974,0,0,0
