HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
Argentina ,1–1, Italy,[],19 June 1974,19:30,1974
Haiti ,0–7, Poland,[],19 June 1974,19:30,1974
Argentina ,4–1, Haiti,[],23 June 1974,16:00,1974
Poland ,2–1, Italy,[],23 June 1974,16:00,1974
Netherlands ,4–0, Argentina,[],26 June 1974,19:30,1974
Brazil ,1–0, East Germany,[],26 June 1974,19:30,1974
Argentina ,1–2, Brazil,[],30 June 1974,16:00,1974
East Germany ,0–2, Netherlands,[],30 June 1974,16:00,1974
Argentina ,1–1, East Germany,[],3 July 1974,19:30,1974
Netherlands ,2–0, Brazil,[],3 July 1974,19:30,1974
Yugoslavia ,0–2, West Germany,[],26 June 1974,16:00,1974
Sweden ,0–1, Poland,[],26 June 1974,19:30,1974
Poland ,2–1, Yugoslavia,[],30 June 1974,16:00,1974
West Germany ,4–2, Sweden,[],30 June 1974,19:30,1974
Poland ,0–1, West Germany,[],3 July 1974,16:35,1974
Sweden ,2–1, Yugoslavia,[],3 July 1974,19:30,1974
Brazil ,0–1, Poland,[],6 July 1974,16:00,1974
Netherlands ,1–2, West Germany,[],7 July 1974,16:00,1974
Italy ,2–1, France,[],2 June 1978,13:45,1978
Argentina ,2–1, Hungary,[],2 June 1978,19:15,1978
Italy ,3–1, Hungary,[],6 June 1978,13:45,1978
Argentina ,2–1, France,[],6 June 1978,19:15,1978
France ,3–1, Hungary,[],10 June 1978,14:30,1978
Argentina ,0–1, Italy,[],10 June 1978,19:15,1978
West Germany ,0–0, Poland,[],1 June 1978,15:00,1978
Tunisia ,3–1, Mexico,[],2 June 1978,16:45,1978
West Germany ,6–0, Mexico,[],6 June 1978,16:45,1978
Poland ,1–0, Tunisia,[],6 June 1978,16:45,1978
West Germany ,0–0, Tunisia,[],10 June 1978,16:45,1978
Poland ,3–1, Mexico,[],10 June 1978,16:45,1978
Austria ,2–1, Spain,[],3 June 1978,13:45,1978
Brazil ,1–1, Sweden,[],3 June 1978,13:45,1978
Austria ,1–0, Sweden,[],7 June 1978,13:45,1978
Brazil ,0–0, Spain,[],7 June 1978,13:45,1978
Spain ,1–0, Sweden,[],11 June 1978,13:45,1978
Brazil ,1–0, Austria,[],11 June 1978,13:45,1978
Peru ,3–1, Scotland,[],3 June 1978,16:45,1978
Netherlands ,3–0, Iran,[],3 June 1978,16:45,1978
Scotland ,1–1, Iran,[],7 June 1978,16:45,1978
Netherlands ,0–0, Peru,[],7 June 1978,16:45,1978
Peru ,4–1, Iran,[],11 June 1978,16:45,1978
Scotland ,3–2, Netherlands,[],11 June 1978,16:45,1978
Austria ,1–5, Netherlands,[],14 June 1978,13:45,1978
Italy ,0–0, West Germany,[],14 June 1978,13:45,1978
Netherlands ,2–2, West Germany,[],18 June 1978,16:45,1978
Italy ,1–0, Austria,[],18 June 1978,16:45,1978
Austria ,3–2, West Germany,[],21 June 1978,13:45,1978
Italy ,1–2, Netherlands,[],21 June 1978,13:45,1978
Brazil ,3–0, Peru,[],14 June 1978,16:45,1978
Argentina ,2–0, Poland,[],14 June 1978,19:15,1978
Peru ,0–1, Poland,[],18 June 1978,13:45,1978
